skill,have_skill_and_add_to_profile,already_in_profile,jd_count,example_jds
Product operations,,,4,Product Operations Associate - Victory Live; Product Operations Intern - Roadie; Technical Program Manager - Abnormal AI; Junior Project Manager - Ruby Labs
Product strategy,,,4,Product Owner - Realtime Clinical Trial Management Systems; Analytics Product Manager - Cotiviti; Director / Senior Director of Product Management - ONTIC TECHNOLOGIES; Junior Project Manager - Ruby Labs
Salesforce,,,4,Implementation Project Manager - Attentive; Implementation Project Manager - Medallion; Implementation Project Manager - Medallion; Implementation Specialist - PatientNOW
SAP,,,4,"Delivery Lead - RELISH; Enterprise Implementation Specialist - Kollective Group; Information Systems Project Manager - Northrop Grumman; IT Solutions Project Manager - Supply Chain Planning Systems - ERP Logic Israel, SAP Partner"
Software implementation,,,4,Project Manager - Plusgrade; Delivery Lead - RELISH; Implementation Consultant – Legal AI Solutions - Thomson Reuters; Implementation Manager (AI / HealthTech) - evoke
Data governance,,,3,Data & Analytics (ML-Enabled Systems) - Thomson Reuters; Decision Strategy Management – Dialer and Campaign Management Strategist - BMO; Information Services Manager (ISM) - Mutual of Omaha
Data management,,,3,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Product Owner - Mutual of Omaha
Data modernization,,,3,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Information Services Manager (ISM) - Mutual of Omaha
Data pipelines,,yes,3,Product Manager 1 - (AI Focus) - Principal Financial Group; Data & Analytics (ML-Enabled Systems) - Thomson Reuters; Implementation Project Manager - Attentive
Go-to-market,,,3,Customer Success Engineer (Americas) - Deepgram; Implementation Project Manager - Medallion; Implementation Project Manager - Medallion
JavaScript,,,3,"AI Marketing Systems Manager - Onist Digital Agency; Data Analyst, Product Analytics - Thomson Reuters; Implementation Manager (AI / HealthTech) - evoke"
LLMs,,,3,"AI Application Specialist - Motorola Solutions; Data & Analytics (ML-Enabled Systems) - Thomson Reuters; Data Analyst, Product Analytics - Thomson Reuters"
Looker,,,3,Technical Project Manager - Yalo; AI Marketing Systems Manager - Onist Digital Agency; Analytics Product Manager - Cotiviti
